sale_id,sale_date,sales_rep,region,product,deal_stage,lead_source,deal_value,quantity,discount_percent,days_to_close,customer_size,is_new_customer,satisfaction_score,final_value
1829,2024-03-07,Jack Thompson,West,Cloud Storage,Lost,Referral,3097.84,14,10,85,Large,False,4.8,2788.06
1688,2024-03-07,Grace Wilson,Central,Consulting Hours,Lost,Website,2243.15,18,5,58,Enterprise,True,4.3,2130.99
1876,2024-03-07,Ivy Anderson,East,Support Plan,Won,Referral,3663.1,5,0,56,Medium,True,3.0,3663.1
1098,2024-03-08,David Brown,East,Consulting Hours,Pending,Cold Call,16972.65,16,15,85,Enterprise,True,4.5,14426.75
1270,2024-03-08,Alice Johnson,West,API Access,Won,Cold Call,43172.77,16,10,58,Large,False,1.1,38855.49
1602,2024-03-08,Grace Wilson,North,Training Package,Lost,Social Media,42872.05,8,10,81,Medium,True,1.3,38584.84
1715,2024-03-09,Frank Miller,Central,Cloud Storage,Won,Referral,17422.36,14,0,88,Enterprise,False,4.1,17422.36
1485,2024-03-09,Bob Smith,North,Consulting Hours,Lost,Referral,21827.48,8,25,19,Enterprise,True,4.2,16370.61
1852,2024-03-11,Henry Taylor,West,Premium Subscription,Pending,Website,49341.04,17,5,8,Small,False,4.8,46873.99
1682,2024-03-11,Ivy Anderson,West,Software License,Won,Social Media,43103.06,14,15,56,Enterprise,True,4.2,36637.6
1519,2024-03-11,Alice Johnson,North,Training Package,Lost,Email Campaign,27013.91,1,5,80,Small,True,2.7,25663.21
1917,2024-03-12,Ivy Anderson,North,Support Plan,Won,Website,44838.45,14,5,61,Medium,False,1.8,42596.53
1379,2024-03-12,Ivy Anderson,East,API Access,Won,Trade Show,33336.45,18,25,24,Small,False,1.9,25002.34
1152,2024-03-12,Henry Taylor,Central,Hardware Bundle,Won,Referral,38377.09,12,10,23,Enterprise,False,3.0,34539.38
1555,2024-03-12,Bob Smith,South,API Access,Lost,Trade Show,14068.96,2,5,36,Enterprise,False,1.6,13365.51
1051,2024-03-13,Grace Wilson,West,Cloud Storage,Won,Email Campaign,45446.75,3,25,72,Large,False,1.6,34085.06
1676,2024-03-13,Carol Williams,Central,Hardware Bundle,Won,Email Campaign,26007.61,18,10,4,Medium,True,2.0,23406.85
1886,2024-03-13,Emma Davis,South,API Access,Pending,Cold Call,31448.2,12,0,80,Medium,True,5.0,31448.2
1892,2024-03-13,Henry Taylor,West,Software License,Won,Cold Call,39515.95,10,20,9,Medium,False,2.5,31612.76
1135,2024-03-14,Carol Williams,South,Hardware Bundle,Won,Social Media,48277.88,14,20,25,Enterprise,False,4.2,38622.3
1093,2024-03-14,Alice Johnson,West,Training Package,Won,Social Media,19678.84,5,10,39,Medium,True,2.1,17710.96
1904,2024-03-14,Frank Miller,West,Software License,Won,Website,6896.58,5,15,76,Medium,True,4.7,5862.09
1498,2024-03-15,Emma Davis,North,Hardware Bundle,Won,Social Media,1491.15,7,25,76,Enterprise,False,2.9,1118.36
1330,2024-03-16,Ivy Anderson,South,Support Plan,Won,Social Media,11584.27,12,20,70,Enterprise,True,1.4,9267.42
1353,2024-03-17,Alice Johnson,North,Support Plan,Won,Email Campaign,9007.89,19,10,41,Large,True,1.2,8107.1
1567,2024-03-18,Bob Smith,East,Cloud Storage,Won,Cold Call,37067.8,9,5,4,Large,False,3.1,35214.41
1637,2024-03-18,Bob Smith,West,Consulting Hours,Won,Email Campaign,20414.2,11,5,50,Medium,False,3.3,19393.49
1384,2024-03-19,Henry Taylor,East,Training Package,Pending,Website,9705.09,15,0,43,Enterprise,False,1.3,9705.09
1672,2024-03-19,Alice Johnson,South,Premium Subscription,Won,Email Campaign,8647.66,1,0,28,Medium,True,3.3,8647.66
1988,2024-03-19,Grace Wilson,North,Premium Subscription,Won,Cold Call,46922.38,8,25,87,Small,True,4.5,35191.78
1045,2024-03-20,Ivy Anderson,West,API Access,Pending,Email Campaign,45642.0,10,20,57,Small,False,2.7,36513.6
1007,2024-03-20,Emma Davis,North,Training Package,Pending,Cold Call,31121.21,3,0,8,Small,False,4.7,31121.21
1847,2024-03-21,Emma Davis,West,API Access,Won,Referral,28315.8,5,20,51,Medium,True,1.7,22652.64
1308,2024-03-21,Jack Thompson,West,Cloud Storage,Won,Social Media,28340.25,3,20,76,Large,False,2.8,22672.2
1026,2024-03-21,Emma Davis,East,Software License,Pending,Website,12568.2,17,25,23,Enterprise,True,1.8,9426.15
1748,2024-03-22,Jack Thompson,East,Software License,Lost,Website,45966.82,18,0,10,Medium,True,2.6,45966.82
1483,2024-03-22,Carol Williams,Central,Consulting Hours,Pending,Email Campaign,27901.15,8,20,3,Medium,False,3.4,22320.92
1581,2024-03-24,Alice Johnson,Central,Support Plan,Won,Cold Call,35517.6,13,5,44,Small,False,3.9,33741.72
1919,2024-03-24,Ivy Anderson,West,Hardware Bundle,Won,Trade Show,12362.47,6,25,3,Enterprise,False,2.3,9271.85
1915,2024-03-24,Henry Taylor,West,Support Plan,Won,Referral,40950.96,7,15,83,Medium,False,4.3,34808.32
1978,2024-03-25,Carol Williams,Central,Cloud Storage,Won,Email Campaign,25054.11,8,10,54,Small,False,2.8,22548.7
1873,2024-03-25,Frank Miller,West,Support Plan,Lost,Cold Call,22653.82,19,0,86,Enterprise,True,3.3,22653.82
1376,2024-03-25,Bob Smith,West,Hardware Bundle,Won,Referral,41576.15,4,0,13,Medium,True,4.9,41576.15
1317,2024-03-26,Ivy Anderson,Central,Hardware Bundle,Lost,Email Campaign,16631.13,13,15,82,Small,True,1.5,14136.46
1110,2024-03-27,David Brown,North,API Access,Won,Cold Call,16327.29,5,15,18,Small,True,4.1,13878.2
1165,2024-03-27,Ivy Anderson,North,Cloud Storage,Won,Email Campaign,46347.16,6,10,44,Large,True,2.0,41712.44
1907,2024-03-27,Emma Davis,East,Consulting Hours,Won,Social Media,3422.98,2,10,55,Medium,False,1.5,3080.68
1697,2024-03-27,Alice Johnson,West,Premium Subscription,Lost,Email Campaign,42326.06,9,25,33,Enterprise,False,3.1,31744.54
1887,2024-03-27,Emma Davis,West,Training Package,Won,Referral,46913.17,11,5,59,Large,False,1.0,44567.51
1150,2024-03-28,Grace Wilson,South,Software License,Won,Social Media,39855.37,2,0,5,Enterprise,False,1.7,39855.37
1615,2024-03-28,Frank Miller,West,Premium Subscription,Pending,Referral,2526.23,4,5,87,Large,False,2.9,2399.92
1802,2024-03-29,Carol Williams,North,API Access,Pending,Email Campaign,21629.49,15,15,62,Medium,False,3.9,18385.07
1960,2024-03-30,Emma Davis,West,Hardware Bundle,Lost,Trade Show,5767.38,19,15,56,Small,False,2.0,4902.27
1115,2024-04-01,Henry Taylor,South,Hardware Bundle,Won,Social Media,1718.59,10,5,40,Medium,True,1.9,1632.66
1508,2024-04-01,David Brown,East,Training Package,Won,Trade Show,30023.48,1,10,50,Large,False,2.4,27021.13
1306,2024-04-01,David Brown,West,Consulting Hours,Lost,Referral,40499.36,13,5,13,Enterprise,False,3.6,38474.39
1815,2024-04-02,Bob Smith,South,Consulting Hours,Won,Trade Show,32716.24,11,15,24,Large,False,2.3,27808.8
1855,2024-04-02,David Brown,South,Hardware Bundle,Won,Email Campaign,45488.84,2,20,27,Medium,False,4.1,36391.07
1762,2024-04-02,Bob Smith,Central,Training Package,Lost,Trade Show,7100.55,1,0,69,Medium,False,4.8,7100.55
1928,2024-04-02,Bob Smith,East,Support Plan,Won,Social Media,12181.83,3,15,18,Small,False,3.9,10354.56
1124,2024-04-03,David Brown,South,Consulting Hours,Won,Email Campaign,31208.38,19,0,10,Medium,False,5.0,31208.38
1524,2024-04-03,Emma Davis,West,Support Plan,Won,Trade Show,21723.83,6,15,86,Large,True,2.9,18465.26
1059,2024-04-03,Alice Johnson,East,Premium Subscription,Pending,Email Campaign,2031.08,8,5,61,Medium,False,3.5,1929.53
1327,2024-04-03,Jack Thompson,Central,Support Plan,Lost,Cold Call,9653.55,18,10,2,Large,True,1.6,8688.2
1709,2024-04-03,Henry Taylor,South,Support Plan,Pending,Email Campaign,22788.7,15,0,21,Medium,False,4.9,22788.7
1963,2024-04-04,Bob Smith,East,Cloud Storage,Lost,Referral,37491.23,14,10,50,Small,False,4.7,33742.11
1382,2024-04-04,Alice Johnson,West,Software License,Won,Social Media,39759.86,6,15,46,Large,True,3.7,33795.88
1151,2024-04-04,Carol Williams,West,API Access,Lost,Trade Show,16524.68,18,15,19,Medium,False,4.1,14045.98
1546,2024-04-04,David Brown,North,Premium Subscription,Won,Social Media,16628.32,13,5,74,Large,True,1.8,15796.9
1338,2024-04-05,Alice Johnson,North,API Access,Won,Cold Call,17296.48,14,5,61,Small,False,1.7,16431.66
1552,2024-04-05,Ivy Anderson,West,Hardware Bundle,Lost,Referral,4671.09,13,20,31,Small,False,4.8,3736.87
1268,2024-04-05,Bob Smith,West,Support Plan,Won,Referral,28752.69,19,15,9,Small,False,2.5,24439.79
1311,2024-04-06,Emma Davis,West,API Access,Lost,Social Media,44381.88,16,5,21,Large,True,3.9,42162.79
1996,2024-04-06,Ivy Anderson,North,Cloud Storage,Won,Cold Call,4933.52,19,0,77,Enterprise,True,1.7,4933.52
1250,2024-04-07,Henry Taylor,North,Premium Subscription,Won,Website,26738.09,1,5,58,Medium,False,1.1,25401.19
1909,2024-04-07,Alice Johnson,North,API Access,Won,Website,5635.94,7,10,59,Medium,False,3.8,5072.35
1477,2024-04-07,Ivy Anderson,East,Cloud Storage,Pending,Social Media,34725.09,19,15,6,Small,False,3.8,29516.33
1373,2024-04-07,Bob Smith,South,API Access,Won,Referral,35196.3,17,25,71,Small,True,1.7,26397.22
1638,2024-04-07,Bob Smith,South,Premium Subscription,Won,Email Campaign,21535.2,2,15,81,Large,False,1.2,18304.92
1766,2024-04-07,David Brown,West,Hardware Bundle,Won,Cold Call,11904.14,2,0,71,Medium,False,3.2,11904.14
1586,2024-04-07,Alice Johnson,East,Software License,Lost,Social Media,6510.04,11,10,40,Large,True,2.7,5859.04
1961,2024-04-08,Ivy Anderson,West,Consulting Hours,Pending,Email Campaign,41176.74,19,15,9,Large,False,3.7,35000.23
1091,2024-04-09,Emma Davis,South,Consulting Hours,Won,Email Campaign,18338.59,18,25,73,Small,True,2.8,13753.94
1109,2024-04-09,Emma Davis,Central,Support Plan,Won,Website,32105.19,16,0,65,Small,True,1.7,32105.19
1700,2024-04-09,Ivy Anderson,North,Software License,Lost,Cold Call,20417.47,17,0,14,Enterprise,False,4.8,20417.47
1137,2024-04-10,Ivy Anderson,West,Hardware Bundle,Won,Trade Show,31784.95,4,15,64,Enterprise,False,2.9,27017.21
1589,2024-04-10,Emma Davis,North,Premium Subscription,Pending,Trade Show,16755.08,16,10,61,Medium,False,4.3,15079.57
1933,2024-04-10,Emma Davis,Central,Cloud Storage,Pending,Social Media,42317.48,16,0,41,Small,False,1.3,42317.48
1821,2024-04-11,Emma Davis,South,Premium Subscription,Won,Referral,10469.61,3,15,19,Medium,False,2.9,8899.17
1516,2024-04-11,Ivy Anderson,South,Cloud Storage,Won,Social Media,40377.31,7,20,20,Small,True,3.1,32301.85
1167,2024-04-12,Frank Miller,South,Hardware Bundle,Won,Referral,39361.64,17,20,14,Enterprise,True,3.0,31489.31
1657,2024-04-12,David Brown,West,Support Plan,Won,Trade Show,28449.67,13,20,21,Enterprise,True,1.1,22759.74
1517,2024-04-12,Jack Thompson,South,Cloud Storage,Won,Email Campaign,15333.6,1,5,24,Large,False,3.7,14566.92
1071,2024-04-12,Carol Williams,West,Software License,Pending,Trade Show,40515.55,7,10,36,Enterprise,False,3.0,36464.0
1161,2024-04-13,Jack Thompson,East,Software License,Pending,Email Campaign,4579.1,12,15,89,Small,True,3.0,3892.24
1708,2024-04-14,Henry Taylor,Central,Support Plan,Won,Cold Call,49777.79,14,0,68,Large,False,3.7,49777.79
1854,2024-04-14,Ivy Anderson,South,Support Plan,Won,Cold Call,25727.99,11,10,37,Small,True,1.2,23155.19
1334,2024-04-14,Ivy Anderson,South,Premium Subscription,Pending,Trade Show,40489.35,17,5,89,Large,False,3.0,38464.88
1862,2024-04-15,Bob Smith,East,Software License,Pending,Social Media,27591.58,13,0,33,Small,False,3.2,27591.58
1471,2024-04-15,Alice Johnson,Central,Training Package,Lost,Social Media,16045.17,18,5,47,Small,False,4.2,15242.91
1422,2024-04-15,Grace Wilson,West,Consulting Hours,Won,Email Campaign,46681.35,3,25,36,Medium,True,1.6,35011.01
1991,2024-04-15,Alice Johnson,South,Consulting Hours,Lost,Trade Show,3911.93,15,0,52,Medium,False,4.6,3911.93
1673,2024-04-15,Jack Thompson,Central,Premium Subscription,Won,Trade Show,3662.05,8,20,53,Small,False,2.6,2929.64
1453,2024-04-16,Henry Taylor,East,Hardware Bundle,Lost,Referral,29287.43,13,10,60,Medium,False,2.0,26358.69
1870,2024-04-16,Grace Wilson,Central,Premium Subscription,Won,Cold Call,29587.54,17,0,57,Medium,False,1.1,29587.54
1116,2024-04-16,Grace Wilson,North,Software License,Won,Email Campaign,10868.06,15,15,55,Medium,False,3.7,9237.85
1329,2024-04-17,Emma Davis,South,Training Package,Pending,Email Campaign,3540.54,4,25,49,Large,True,4.0,2655.4
1030,2024-04-17,Carol Williams,East,Support Plan,Lost,Trade Show,11617.82,2,10,79,Small,False,2.8,10456.04
1062,2024-04-18,Bob Smith,Central,Training Package,Won,Email Campaign,6706.08,7,0,16,Large,False,2.8,6706.08
1395,2024-04-19,Carol Williams,East,Training Package,Pending,Website,41542.96,19,10,14,Enterprise,False,1.4,37388.66
1805,2024-04-19,Grace Wilson,West,Training Package,Lost,Website,36480.41,12,10,12,Small,False,4.9,32832.37
1841,2024-04-19,Henry Taylor,South,Premium Subscription,Won,Referral,1462.68,4,25,17,Medium,False,1.6,1097.01
1314,2024-04-19,Emma Davis,East,Consulting Hours,Won,Email Campaign,13720.21,5,15,26,Enterprise,False,4.3,11662.18
1037,2024-04-19,Emma Davis,West,Software License,Won,Website,16862.77,5,15,44,Medium,False,3.2,14333.35
1757,2024-04-19,Ivy Anderson,West,Premium Subscription,Pending,Cold Call,27357.38,6,15,49,Small,True,1.5,23253.77
1198,2024-04-20,Alice Johnson,South,Software License,Won,Website,47993.87,19,25,86,Small,False,4.3,35995.4
1143,2024-04-20,Jack Thompson,North,Consulting Hours,Won,Email Campaign,31985.39,3,10,14,Large,False,3.2,28786.85
1576,2024-04-20,Carol Williams,West,Hardware Bundle,Lost,Referral,39698.62,12,15,22,Small,True,2.1,33743.83
1749,2024-04-21,Bob Smith,South,Training Package,Won,Social Media,2826.13,11,5,88,Large,True,4.7,2684.82
1413,2024-04-21,Ivy Anderson,West,Premium Subscription,Lost,Referral,31148.82,5,15,29,Medium,True,4.4,26476.5
1216,2024-04-21,Frank Miller,West,Training Package,Pending,Referral,46148.5,6,0,76,Enterprise,False,3.5,46148.5
1582,2024-04-21,Frank Miller,North,Software License,Won,Website,35733.01,16,25,43,Medium,False,3.0,26799.76
1817,2024-04-21,Carol Williams,West,Software License,Won,Website,9195.77,18,20,13,Small,False,4.3,7356.62
1086,2024-04-21,Alice Johnson,North,API Access,Lost,Referral,36292.05,1,15,76,Enterprise,True,1.1,30848.24
1055,2024-04-21,Alice Johnson,Central,API Access,Won,Email Campaign,5681.46,10,0,57,Large,False,2.0,5681.46
1410,2024-04-22,Frank Miller,Central,API Access,Won,Cold Call,28312.26,12,15,26,Medium,True,3.8,24065.42
1210,2024-04-22,Carol Williams,North,Training Package,Lost,Social Media,49071.46,7,20,10,Large,False,1.3,39257.17
1774,2024-04-22,Carol Williams,South,Training Package,Lost,Trade Show,33864.87,17,10,18,Medium,True,4.1,30478.38
1679,2024-04-22,Henry Taylor,East,API Access,Won,Trade Show,45358.56,13,5,67,Medium,False,4.7,43090.63
1356,2024-04-22,Carol Williams,Central,Hardware Bundle,Won,Social Media,7380.61,16,5,5,Medium,False,4.8,7011.58
1065,2024-04-22,Henry Taylor,Central,Hardware Bundle,Pending,Social Media,14139.06,6,15,15,Enterprise,False,3.5,12018.2
1278,2024-04-22,David Brown,East,Consulting Hours,Lost,Website,43871.53,11,20,15,Enterprise,True,3.6,35097.22
1039,2024-04-23,Emma Davis,Central,Software License,Lost,Referral,20913.95,7,20,29,Enterprise,True,2.9,16731.16
1884,2024-04-24,David Brown,East,API Access,Won,Social Media,17686.01,18,5,68,Small,False,4.5,16801.71
1866,2024-04-24,Alice Johnson,Central,Software License,Lost,Referral,16554.28,17,0,11,Medium,False,4.0,16554.28
1585,2024-04-25,Henry Taylor,West,API Access,Won,Cold Call,6643.31,4,0,17,Medium,True,4.1,6643.31
1645,2024-04-26,Carol Williams,Central,Premium Subscription,Lost,Cold Call,19966.44,5,20,3,Small,False,1.9,15973.15
1357,2024-04-26,Frank Miller,South,Premium Subscription,Pending,Trade Show,22283.52,4,0,71,Small,False,1.6,22283.52
1403,2024-04-26,Henry Taylor,West,Training Package,Won,Cold Call,22788.98,6,0,71,Large,True,3.0,22788.98
1656,2024-04-26,Grace Wilson,Central,Software License,Won,Email Campaign,43493.57,5,25,1,Enterprise,False,3.6,32620.18
1445,2024-04-26,Bob Smith,West,API Access,Won,Website,11964.15,12,0,64,Medium,True,4.6,11964.15
1437,2024-04-26,Grace Wilson,South,Hardware Bundle,Lost,Email Campaign,42755.9,12,15,37,Small,False,1.9,36342.52
1031,2024-04-27,Carol Williams,Central,Cloud Storage,Lost,Website,3923.1,11,15,71,Enterprise,False,5.0,3334.64
1414,2024-04-28,Bob Smith,North,Software License,Won,Cold Call,41327.94,5,20,1,Small,True,3.0,33062.35
1263,2024-04-28,Grace Wilson,North,Support Plan,Won,Trade Show,15922.8,4,10,86,Medium,True,1.6,14330.52
1871,2024-04-29,Jack Thompson,West,Hardware Bundle,Lost,Referral,41119.29,14,15,38,Small,False,3.8,34951.4
1839,2024-04-29,Carol Williams,North,API Access,Lost,Trade Show,4421.05,13,5,20,Small,False,4.6,4200.0
1162,2024-04-30,Ivy Anderson,South,API Access,Won,Trade Show,30198.41,4,5,16,Small,True,4.1,28688.49
1562,2024-04-30,Henry Taylor,Central,Cloud Storage,Won,Email Campaign,26144.82,17,20,43,Large,True,3.9,20915.86
1974,2024-04-30,Bob Smith,West,Hardware Bundle,Won,Cold Call,20552.85,2,20,23,Large,False,3.6,16442.28
1117,2024-04-30,Jack Thompson,Central,Consulting Hours,Won,Referral,21105.01,6,15,79,Medium,False,4.0,17939.26
1102,2024-05-01,David Brown,South,Training Package,Won,Trade Show,40482.03,16,5,28,Large,True,2.4,38457.93
1398,2024-05-01,Alice Johnson,West,Premium Subscription,Won,Referral,24148.24,6,20,15,Large,True,2.2,19318.59
1732,2024-05-01,Henry Taylor,Central,Software License,Won,Website,24661.82,2,25,12,Large,True,2.1,18496.36
1139,2024-05-01,Grace Wilson,North,Support Plan,Won,Referral,18664.59,15,0,50,Medium,False,2.8,18664.59
1513,2024-05-03,Carol Williams,West,API Access,Won,Email Campaign,26802.16,18,15,33,Large,False,3.3,22781.84
1095,2024-05-03,Frank Miller,South,Software License,Lost,Cold Call,15785.71,10,5,2,Large,False,4.3,14996.42
1724,2024-05-03,Ivy Anderson,West,Consulting Hours,Won,Referral,25515.58,18,15,49,Large,True,3.9,21688.24
1159,2024-05-04,Ivy Anderson,Central,API Access,Lost,Referral,13737.06,10,25,1,Large,False,4.6,10302.8
1785,2024-05-04,David Brown,North,API Access,Won,Referral,25643.46,3,25,33,Small,False,3.7,19232.6
1921,2024-05-05,Henry Taylor,East,Premium Subscription,Won,Email Campaign,17124.25,10,5,69,Medium,False,3.1,16268.04
1299,2024-05-06,Henry Taylor,West,Cloud Storage,Lost,Social Media,40846.07,15,0,53,Small,False,2.4,40846.07
1920,2024-05-06,Grace Wilson,North,Hardware Bundle,Pending,Referral,2103.26,4,5,25,Large,False,1.5,1998.1
1470,2024-05-07,David Brown,Central,Premium Subscription,Won,Referral,3198.34,12,0,49,Enterprise,False,3.3,3198.34
1579,2024-05-07,Bob Smith,North,Support Plan,Won,Email Campaign,3336.86,2,25,28,Enterprise,False,4.4,2502.64
1459,2024-05-07,Alice Johnson,West,Cloud Storage,Won,Trade Show,43892.38,12,15,25,Small,False,4.9,37308.52
1814,2024-05-07,Henry Taylor,West,Training Package,Pending,Social Media,42052.94,8,5,3,Medium,False,2.2,39950.29
1628,2024-05-08,Alice Johnson,North,Training Package,Won,Cold Call,23112.48,5,20,47,Medium,True,2.7,18489.98
1947,2024-05-08,Bob Smith,West,Training Package,Won,Website,6658.88,9,20,17,Enterprise,True,3.0,5327.1
1765,2024-05-10,Bob Smith,South,Training Package,Lost,Cold Call,46253.32,13,10,60,Medium,True,2.2,41627.99
1005,2024-05-10,Henry Taylor,South,Premium Subscription,Won,Social Media,23252.41,4,5,81,Large,False,3.2,22089.79
1859,2024-05-11,Alice Johnson,West,Training Package,Lost,Website,3333.22,12,20,88,Enterprise,False,1.1,2666.58
1603,2024-05-12,Bob Smith,East,Cloud Storage,Won,Social Media,37622.71,3,5,88,Large,False,1.3,35741.57
1282,2024-05-13,Ivy Anderson,South,API Access,Won,Social Media,15731.29,10,20,52,Medium,True,3.8,12585.03
1786,2024-05-13,Henry Taylor,West,Hardware Bundle,Lost,Social Media,37641.37,8,25,69,Enterprise,False,1.8,28231.03
1536,2024-05-13,Bob Smith,South,Support Plan,Won,Website,42849.78,6,25,31,Enterprise,True,1.4,32137.34
1968,2024-05-13,Ivy Anderson,East,Cloud Storage,Lost,Trade Show,38310.9,3,15,56,Medium,False,3.6,32564.26
1601,2024-05-14,Emma Davis,Central,Consulting Hours,Pending,Cold Call,25580.95,19,5,57,Enterprise,True,2.0,24301.9
1463,2024-05-14,Carol Williams,Central,Support Plan,Pending,Trade Show,10462.56,11,0,33,Large,False,1.7,10462.56
1571,2024-05-14,Alice Johnson,North,API Access,Won,Website,10047.09,11,0,26,Enterprise,False,2.3,10047.09
1856,2024-05-16,Bob Smith,East,Training Package,Lost,Trade Show,39366.9,6,10,45,Enterprise,False,3.8,35430.21
1755,2024-05-16,Carol Williams,West,Software License,Lost,Trade Show,42599.96,2,5,52,Small,False,2.5,40469.96
1888,2024-05-16,Emma Davis,Central,Consulting Hours,Pending,Trade Show,34145.39,8,25,52,Small,False,2.2,25609.04
1664,2024-05-18,Emma Davis,Central,Training Package,Won,Website,10472.46,5,5,67,Large,False,2.1,9948.84
1061,2024-05-19,Grace Wilson,South,Support Plan,Won,Email Campaign,18401.53,13,0,8,Medium,True,2.3,18401.53
1104,2024-05-19,Carol Williams,North,Training Package,Lost,Cold Call,40895.91,3,0,51,Enterprise,True,2.1,40895.91
1806,2024-05-19,Alice Johnson,South,Cloud Storage,Won,Referral,43763.68,2,5,65,Small,True,4.1,41575.5
1204,2024-05-19,Carol Williams,South,API Access,Lost,Website,31984.34,15,15,73,Small,False,3.9,27186.69
1711,2024-05-20,Henry Taylor,South,Hardware Bundle,Won,Cold Call,22420.05,1,15,85,Medium,False,3.6,19057.04
1932,2024-05-21,Bob Smith,North,Training Package,Won,Email Campaign,25886.71,19,25,38,Small,False,3.5,19415.03
1752,2024-05-21,Grace Wilson,Central,Hardware Bundle,Pending,Cold Call,12331.22,17,0,77,Medium,False,4.6,12331.22
1563,2024-05-22,Frank Miller,West,Premium Subscription,Pending,Cold Call,37526.8,19,15,27,Small,True,1.3,31897.78
1754,2024-05-23,Henry Taylor,East,Consulting Hours,Pending,Referral,32198.85,6,20,59,Medium,True,3.3,25759.08
1466,2024-05-24,Grace Wilson,East,Consulting Hours,Pending,Cold Call,689.94,18,0,57,Large,False,2.1,689.94
1157,2024-05-24,Jack Thompson,East,Cloud Storage,Won,Email Campaign,39504.52,2,15,2,Medium,False,3.9,33578.84
1912,2024-05-24,David Brown,West,Consulting Hours,Won,Email Campaign,33566.16,2,10,49,Enterprise,True,4.5,30209.54
1012,2024-05-26,Bob Smith,West,Cloud Storage,Lost,Email Campaign,49707.04,3,15,78,Enterprise,False,3.1,42250.98
1454,2024-05-27,Alice Johnson,North,API Access,Pending,Website,35877.44,3,0,13,Small,True,1.6,35877.44
1049,2024-05-27,Henry Taylor,East,Premium Subscription,Won,Website,16292.73,13,20,20,Enterprise,False,3.0,13034.18
1692,2024-05-28,Jack Thompson,North,Hardware Bundle,Pending,Website,27098.35,15,10,67,Medium,False,1.3,24388.52
1527,2024-05-28,Grace Wilson,East,Cloud Storage,Lost,Social Media,18219.08,6,10,89,Small,False,1.3,16397.17
1993,2024-05-28,Grace Wilson,East,API Access,Won,Trade Show,11394.46,12,25,50,Enterprise,True,4.4,8545.84
